epoch,step,train/loss_epoch,val/error_qq,val/error_xx,val/loss,val/loss_best
0,0,,3.1540799140930176,1.6055463552474976,0.9967365264892578,0.9967365264892578
0,0,1.8459523916244507,,,,
1,1,,1.4565143585205078,2.607649087905884,2.104146957397461,0.9967365264892578
1,1,0.2358253002166748,,,,
2,2,,1.2563199996948242,3.1808347702026367,3.09647536277771,0.9967365264892578
2,2,0.08411901444196701,,,,
3,3,,1.45798921585083,3.2770442962646484,3.296431303024292,0.9967365264892578
3,3,0.49949973821640015,,,,
4,4,,1.2048614025115967,3.097761392593384,2.935861587524414,0.9967365264892578
4,4,0.6079900860786438,,,,
5,5,,0.9905241131782532,2.7894484996795654,2.3762784004211426,0.9967365264892578
5,5,0.41705644130706787,,,,
6,6,,1.3038655519485474,2.4458541870117188,1.8475184440612793,0.9967365264892578
6,6,0.16962482035160065,,,,
7,7,,1.8479020595550537,2.1306209564208984,1.4482284784317017,0.9967365264892578
7,7,0.021894417703151703,,,,
8,8,,2.2666361331939697,1.887071132659912,1.189591646194458,0.9967365264892578
8,8,0.011747133918106556,,,,
9,9,,2.4576268196105957,1.738034725189209,1.0457216501235962,0.9967365264892578
9,9,0.08949955552816391,,,,
10,10,,2.4576268196105957,1.738034725189209,1.0457216501235962,0.9967365264892578
