epoch,step,train/loss_epoch,train/loss_step,val/error_p,val/error_q,val/error_qq,val/error_u,val/error_v,val/error_xx,val/loss,val/loss_best
0,0,,,3.29313588142395,4.348269939422607,2.4688096046447754,1.0625900030136108,2.0172109603881836,0.5517135858535767,1.0948879718780518,1.0948879718780518
0,0,3.0704426765441895,,,,,,,,,
1,1,,,2.615760326385498,4.786275386810303,2.1476306915283203,1.0212101936340332,1.52703857421875,0.5126047730445862,0.8775821924209595,0.8775821924209595
1,1,2.615954637527466,,,,,,,,,
2,2,,,2.0098931789398193,5.1268839836120605,1.9485173225402832,0.9762417078018188,1.0875544548034668,0.5246212482452393,0.742094099521637,0.742094099521637
2,2,2.247962236404419,,,,,,,,,
3,3,,,1.5084419250488281,5.320626735687256,1.8435558080673218,0.9288018941879272,0.7280601859092712,0.5635014772415161,0.6637791395187378,0.6637791395187378
3,3,1.9593085050582886,,,,,,,,,
4,4,,,1.1478054523468018,5.333744049072266,1.7834042310714722,0.8801654577255249,0.4648433327674866,0.5988415479660034,0.6127171516418457,0.6127171516418457
4,4,1.732947826385498,,,,,,,,,
5,5,,,0.9463233947753906,5.16511869430542,1.7237049341201782,0.831275999546051,0.2991187274456024,0.6128535866737366,0.5650694966316223,0.5650694966316223
5,5,1.5465229749679565,,,,,,,,,
6,6,,,0.8776694536209106,4.841066837310791,1.6408995389938354,0.7826917171478271,0.22197775542736053,0.6032418608665466,0.5103151798248291,0.5103151798248291
6,6,1.3807611465454102,,,,,,,,,
7,7,,,0.87926185131073,4.401771068572998,1.5311262607574463,0.7347352504730225,0.21757248044013977,0.576241672039032,0.4489695727825165,0.4489695727825165
7,7,1.224685788154602,,,,,,,,,
8,8,,,0.8980370759963989,3.8929364681243896,1.4039779901504517,0.6876864433288574,0.2654557526111603,0.5394527912139893,0.3864901661872864,0.3864901661872864
8,8,1.0753028392791748,,,,,,,,,
9,9,,,0.9095599055290222,3.3633596897125244,1.2773289680480957,0.6420083045959473,0.34689682722091675,0.4993939995765686,0.3291642367839813,0.3291642367839813
9,9,0.9346197247505188,,,,,,,,,
10,10,,,0.9096258878707886,2.8650102615356445,1.1725748777389526,0.5985051989555359,0.44557714462280273,0.46143484115600586,0.282029390335083,0.282029390335083
10,10,0.8065796494483948,,,,,,,,,
11,11,,,0.9038965106010437,2.450585126876831,1.1075294017791748,0.5583779215812683,0.5460806488990784,0.42970430850982666,0.2477521002292633,0.2477521002292633
11,11,0.6947736740112305,,,,,,,,,
12,12,,,0.9009935855865479,2.1622114181518555,1.0876059532165527,0.5231776833534241,0.6343042254447937,0.4065292775630951,0.22624258697032928,0.22624258697032928
12,12,0.6010345220565796,,,,,,,,,
13,13,,,0.9076208472251892,2.0109739303588867,1.1028410196304321,0.4946114420890808,0.6988770365715027,0.3919782042503357,0.21511469781398773,0.21511469781398773
13,13,0.5249278545379639,,,,,,,,,
14,14,,,0.9257558584213257,1.9668203592300415,1.1352497339248657,0.4741699695587158,0.7325974106788635,0.3842303156852722,0.21084745228290558,0.21084745228290558
14,14,0.4641054570674896,,,,,,,,,
15,15,,,0.952785074710846,1.9778550863265991,1.1686116456985474,0.4626665711402893,0.7332048416137695,0.38072648644447327,0.21007943153381348,0.21007943153381348
15,15,0.41525503993034363,,,,,,,,,
16,16,,,0.9838076233863831,1.9988032579421997,1.1926618814468384,0.459868848323822,0.7034570574760437,0.3792955279350281,0.2104363739490509,0.21007943153381348
16,16,0.37514248490333557,,,,,,,,,
17,17,,,1.01404869556427,2.0027780532836914,1.2021260261535645,0.4644284248352051,0.6507805585861206,0.3786482512950897,0.21067984402179718,0.21007943153381348
17,17,0.34129273891448975,,,,,,,,,
18,18,,,1.0400896072387695,1.9785915613174438,1.1937793493270874,0.47417449951171875,0.5868428945541382,0.37827131152153015,0.21034947037696838,0.21007943153381348
18,18,0.3121749758720398,,,,,,,,,
19,19,,,1.0600332021713257,1.9246196746826172,1.1733713150024414,0.48661234974861145,0.5267645120620728,0.3780520260334015,0.20984388887882233,0.20984388887882233
19,19,0.287011981010437,,,,,,,,,
20,20,,,1.0731875896453857,1.8441492319107056,1.146092414855957,0.49939483404159546,0.48623916506767273,0.3779119849205017,0.20945045351982117,0.20945045351982117
20,20,0.2654191851615906,,,,,,,,,
21,21,,,1.079676866531372,1.7428979873657227,1.113593578338623,0.5106345415115356,0.47458547353744507,0.3775997757911682,0.20896795392036438,0.20896795392036438
21,21,0.24705582857131958,,,,,,,,,
22,22,,,1.0801284313201904,1.6282227039337158,1.07686448097229,0.5190477967262268,0.4881197214126587,0.3766864240169525,0.20790909230709076,0.20790909230709076
22,22,0.23140667378902435,,,,,,,,,
23,23,,,1.0754362344741821,1.5093357563018799,1.0369141101837158,0.5239693522453308,0.5130784511566162,0.37470781803131104,0.20571020245552063,0.20571020245552063
23,23,0.21775294840335846,,,,,,,,,
24,24,,,1.0665802955627441,1.3977805376052856,0.9947437644004822,0.5252859592437744,0.534770131111145,0.3713490962982178,0.20194938778877258,0.20194938778877258
24,24,0.205311581492424,,,,,,,,,
25,25,,,1.0544958114624023,1.3071757555007935,0.9513230919837952,0.523324728012085,0.5429784655570984,0.3665769398212433,0.1965140551328659,0.1965140551328659
25,25,0.19345183670520782,,,,,,,,,
26,26,,,1.0399971008300781,1.2509878873825073,0.9078019857406616,0.5187209248542786,0.5326318740844727,0.3606807291507721,0.1896667331457138,0.1896667331457138
26,26,0.181874617934227,,,,,,,,,
27,27,,,1.0237500667572021,1.2378901243209839,0.8659752011299133,0.5122835636138916,0.5027895569801331,0.35423311591148376,0.18200290203094482,0.18200290203094482
27,27,0.17067216336727142,,,,,,,,,
28,28,,,1.0062817335128784,1.2671351432800293,0.8286200165748596,0.5048676133155823,0.4555095136165619,0.34798938035964966,0.17431703209877014,0.17431703209877014
28,28,0.16025176644325256,,,,,,,,,
29,29,,,0.9880051612854004,1.3281835317611694,0.7990671396255493,0.4972645342350006,0.39495834708213806,0.34273529052734375,0.16740544140338898,0.16740544140338898
29,29,0.15116143226623535,,,,,,,,,
30,30,,,0.9692521095275879,1.4051278829574585,0.7800682783126831,0.4901173412799835,0.32677119970321655,0.3391009569168091,0.161869078874588,0.161869078874588
30,30,0.14388495683670044,,,,,,,,,
31,31,,,0.9503050446510315,1.482001781463623,0.7726771831512451,0.48386985063552856,0.25768184661865234,0.3373956084251404,0.15798518061637878,0.15798518061637878
31,31,0.1386694312095642,,,,,,,,,
